id,kcbs_competition_id,name,location,state,start_date,is_state_championship,prize_amount,percent_judges_certified
1,614,Gator Hammock Wild Pig & Pepper Jam,"Felda, FL",FL,1/1/2007,TRUE,,
2,621,North Kansas City BBQ,"North Kansas City, MO",MO,3/9/2007,TRUE,,
3,624,Smokin Red Dirt Cookoff,"Enid, OK",OK,4/13/2007,TRUE,,
4,625,Smoke in the Spring,"Osage City, KS",KS,4/13/2007,TRUE,,
5,626,BBQ'n at the Autry,"Los Angeles, CA",CA,4/13/2007,TRUE,,
6,627,"Fire Up Your Grill, Benton County Ducks Unlimited","Bentonville, AR",AR,4/20/2007,TRUE,,
7,628,Rock n' Ribs BBQ Festival,"Springfield, MO",MO,4/20/2007,TRUE,,
8,629,Marshall Rotary Club Cookoff,"Marshall, MO",MO,4/20/2007,TRUE,,
9,630,KSU Wildcat BBQ,"Manhattan, KS",KS,4/20/2007,TRUE,,
10,631,11th Annual Kings Mountain Firehouse Cookoff,"Kings Mountain, NC",NC,4/20/2007,TRUE,,
11,632,Smokin in the Creek,"Sugar Creek, MO",MO,4/27/2007,TRUE,,
12,633,Osage River Bottoms BBQ & Blues Festival,"Warsaw, MO",MO,4/27/2007,TRUE,,
13,634,"Brew, Blues & BBQ","Lansing, KS",KS,5/4/2007,TRUE,,
14,635,Bixby BBQ & Blues Festival,"Bixby, OK",OK,5/11/2007,TRUE,,
15,636,SunDrop Country BBQ Cookoff,"Pulaski, TN",TN,5/11/2007,TRUE,,
16,637,Carolina Smokin' Fall Fling,"Lumberton, NC",NC,11/9/2007,TRUE,,
17,638,Boots & BBQ,"Claremore, OK",OK,5/18/2007,TRUE,,
18,639,Chesapeake Jubilee BBQ Cookoff,"Chesapeake, VA",VA,5/18/2007,TRUE,,
19,640,Bloomin' Barbeque & Bluegrass,"Sevierville, TN",TN,5/18/2007,TRUE,,
20,641,Great American Barbecue Contest,"Kansas City, KS",KS,5/25/2007,FALSE,,
21,642,Lincolnton Hog Happenin',"Lincolnton, NC",NC,6/1/2007,TRUE,,
22,643,Raytown State Championship BBQ,"Raytown, MO",MO,6/8/2007,TRUE,,
23,644,King City BBQ Showdown,"Mt. Vernon, IL",IL,6/8/2007,TRUE,,
24,645,State Center BBQ Championship,"State Center, IA",IA,6/15/2007,TRUE,,
25,647,Elk Grove Rotary Ribfest 2007,"Elk Grove, IL",IL,6/15/2007,TRUE,,
