team_name,team_id,place_rank,category,score,percent_judges_certified,name,competition_id,location,state,start_date
BIG B'S BBQ - TN,3,12,overall,665.1426,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BIG B'S BBQ - TN,3,22,chicken,159.9996,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BIG B'S BBQ - TN,3,11,pork ribs,166.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BIG B'S BBQ - TN,3,10,pork,167.4288,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
BIG B'S BBQ - TN,3,6,brisket,170.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
THE SPICE IS RIGHT,17,20,overall,646.2858,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
THE SPICE IS RIGHT,17,8,chicken,167.9998,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
THE SPICE IS RIGHT,17,26,pork ribs,157.7142,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
THE SPICE IS RIGHT,17,26,pork,154.286,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
THE SPICE IS RIGHT,17,12,brisket,166.2858,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKIN N TURNIN BBQ,18,10,overall,668,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKIN N TURNIN BBQ,18,3,chicken,176.5716,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKIN N TURNIN BBQ,18,16,pork ribs,164,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKIN N TURNIN BBQ,18,16,pork,164.5712,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
SMOKIN N TURNIN BBQ,18,16,brisket,162.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Q SMOKE,91,14,overall,659.4286,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Q SMOKE,91,12,chicken,166.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Q SMOKE,91,22,pork ribs,160.0002,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Q SMOKE,91,2,pork,178.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Q SMOKE,91,25,brisket,153.7142,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASH KICKERS BBQ,110,19,overall,650.285,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASH KICKERS BBQ,110,6,chicken,171.9998,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASH KICKERS BBQ,110,27,pork ribs,157.1426,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASH KICKERS BBQ,110,12,pork,167.4284,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
ASH KICKERS BBQ,110,24,brisket,153.7142,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KILLER HOGS,228,2,overall,692.0002,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KILLER HOGS,228,2,chicken,177.7144,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KILLER HOGS,228,7,pork ribs,168.5716,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KILLER HOGS,228,3,pork,176,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KILLER HOGS,228,8,brisket,169.7142,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
GIVE IT TO GOD,240,7,overall,678.2854,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
GIVE IT TO GOD,240,10,chicken,167.9998,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
GIVE IT TO GOD,240,6,pork ribs,169.143,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
GIVE IT TO GOD,240,5,pork,174.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
GIVE IT TO GOD,240,11,brisket,166.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
901Q,268,1,overall,700.5712,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
901Q,268,4,chicken,174.2858,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
901Q,268,5,pork ribs,173.1428,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
901Q,268,1,pork,180,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
901Q,268,3,brisket,173.1426,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
K & K KOOKERS,271,13,overall,662.2854,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
K & K KOOKERS,271,19,chicken,163.4282,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
K & K KOOKERS,271,25,pork ribs,157.7144,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
K & K KOOKERS,271,4,pork,174.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
K & K KOOKERS,271,10,brisket,166.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
TNT SMOKERS,276,3,overall,681.1426,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
TNT SMOKERS,276,9,chicken,167.9998,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
TNT SMOKERS,276,2,pork ribs,174.8574,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
TNT SMOKERS,276,13,pork,166.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
TNT SMOKERS,276,5,brisket,171.9998,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
MUSIC CITY PIG PALS,747,4,overall,681.1426,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
MUSIC CITY PIG PALS,747,7,chicken,170.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
MUSIC CITY PIG PALS,747,10,pork ribs,166.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
MUSIC CITY PIG PALS,747,7,pork,170.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
MUSIC CITY PIG PALS,747,4,brisket,172.5714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ghost River Smoke-a-holi,1921,5,overall,680.5716,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ghost River Smoke-a-holi,1921,11,chicken,166.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ghost River Smoke-a-holi,1921,9,pork ribs,168,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ghost River Smoke-a-holi,1921,8,pork,170.2858,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ghost River Smoke-a-holi,1921,2,brisket,175.4286,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Tuscumbia River Bottom B,1922,6,overall,678.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Tuscumbia River Bottom B,1922,1,chicken,178.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Tuscumbia River Bottom B,1922,17,pork ribs,162.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Tuscumbia River Bottom B,1922,9,pork,167.9998,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Tuscumbia River Bottom B,1922,9,brisket,168.5714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KINNEY'S KOUNTRY KOOKERS,1923,8,overall,677.7138,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KINNEY'S KOUNTRY KOOKERS,1923,15,chicken,165.7142,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KINNEY'S KOUNTRY KOOKERS,1923,15,pork ribs,164.5712,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KINNEY'S KOUNTRY KOOKERS,1923,6,pork,170.857,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
KINNEY'S KOUNTRY KOOKERS,1923,1,brisket,176.5714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ken Hastings Rolling Rum,1924,9,overall,670.8566,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ken Hastings Rolling Rum,1924,17,chicken,165.71400000000003,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ken Hastings Rolling Rum,1924,4,pork ribs,174.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ken Hastings Rolling Rum,1924,14,pork,165.1428,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Ken Hastings Rolling Rum,1924,15,brisket,165.7142,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
J and J Cooking,1925,11,overall,665.7139999999999,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
J and J Cooking,1925,16,chicken,165.7142,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
J and J Cooking,1925,8,pork ribs,168.5714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
J and J Cooking,1925,15,pork,165.1428,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
J and J Cooking,1925,13,brisket,166.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Rolling Bones,1926,15,overall,658.2856,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Rolling Bones,1926,5,chicken,172.5714,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Rolling Bones,1926,14,pork ribs,164.5712,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Rolling Bones,1926,18,pork,162.2858,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
Rolling Bones,1926,20,brisket,158.8572,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
B & D COOKERS,1927,16,overall,650.8574,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
B & D COOKERS,1927,28,chicken,157.1428,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
B & D COOKERS,1927,3,pork ribs,174.28599999999997,96,American Royal Invitational BBQ Contest,1977,"Kansas City, MO",MO,2009-10-02
