id,kcbs_competition_id,location,start_date
1,614,"Felda, FL",2007-01-01
2,621,"North Kansas City, MO",2007-03-09
3,624,"Enid, OK",2007-04-13
4,625,"Osage City, KS",2007-04-13
5,626,"Los Angeles, CA",2007-04-13
6,627,"Bentonville, AR",2007-04-20
7,628,"Springfield, MO",2007-04-20
8,629,"Marshall, MO",2007-04-20
9,630,"Manhattan, KS",2007-04-20
10,631,"Kings Mountain, NC",2007-04-20
11,632,"Sugar Creek, MO",2007-04-27
12,633,"Warsaw, MO",2007-04-27
13,634,"Lansing, KS",2007-05-04
14,635,"Bixby, OK",2007-05-11
15,636,"Pulaski, TN",2007-05-11
16,637,"Lumberton, NC",2007-11-09
17,638,"Claremore, OK",2007-05-18
18,639,"Chesapeake, VA",2007-05-18
19,640,"Sevierville, TN",2007-05-18
20,641,"Kansas City, KS",2007-05-25
21,642,"Lincolnton, NC",2007-06-01
22,643,"Raytown, MO",2007-06-08
23,644,"Mt. Vernon, IL",2007-06-08
24,645,"State Center, IA",2007-06-15
25,647,"Elk Grove, IL",2007-06-15
26,648,"Frisco, CO",2007-06-15
27,649,"Smyrna, TN",2007-06-16
28,651,"Lawrenceburg, TN",2007-06-22
29,652,"Mountain Grove, MO",2007-06-22
30,653,"Lenexa, KS",2007-06-22
31,654,"Murray, KY",2007-06-29
32,655,"Lake Placid, NY",2007-06-29
33,656,"Durango, CO",2007-07-03
34,658,"Shannon, IL",2007-07-13
35,659,"Bellevue, NE",2007-07-20
36,660,"Burlington, KS",2007-07-20
37,661,"Laurie, MO",2007-08-03
38,662,"Axtell, KS",2007-08-10
39,663,"Highland, NY",2007-08-18
40,664,"Florence, KS",2007-09-02
41,666,"Pine Bluff, AR",2007-09-14
42,667,"Fayetteville, AR",2007-10-05
43,668,"Lenoir, TN",2007-10-12
44,669,"Nelsonville, OH",2007-10-19
45,678,"Platte City, MO",2007-05-11
46,680,"Ashland, MS",2007-05-04
47,681,"Warrensburg, MO",2007-07-13
48,682,"Greenwood, SC",2007-07-13
49,683,"Cameron, MO",2007-06-29
50,684,"Excelsior Springs, MO",2007-08-17
51,686,"Emporia, KS",2007-08-17
52,688,"Mason City, IA",2007-07-27
53,696,"Des Moines, IA",2007-06-07
54,697,"Kansas City, KS",2007-05-18
55,702,"Salisbury, MD",2007-04-20
56,703,"Tryon, NC",2007-06-08
57,704,"Princeton, WI",2007-08-24
58,705,"Winfield, KS",2007-08-31
59,713,"Winchester, TN",2007-04-20
60,714,"Rio Rancho, NM",2007-03-30
61,715,"Lakeland, FL",2007-01-25
62,717,"Mobile, AL",2007-03-08
63,718,"Emporia, KS",2007-08-10
64,719,"McLouth, KS",2007-06-01
65,720,"Lyons, KS",2007-05-04
66,721,"Waterloo, IA",2007-07-20
67,722,"Mears, MI",2007-09-14
68,724,"Columbus, MS",2007-04-13
69,725,"Norfolk, VA",2007-04-27
70,726,"Columbia, MO",2007-07-27
71,727,"Atchison, KS",2007-09-14
72,728,"Danville, VA",2007-05-18
73,729,"Modesto, CA",2007-05-04
74,730,"Park City, KS",2007-09-14
75,748,"Landover, MD",2007-05-18
76,749,"Hammond, LA",2007-03-30
77,750,"Boulder City, NV",2007-05-25
78,751,"Marysville, KS",2007-06-01
79,752,"Cartersville, GA",2007-06-01
80,753,"Haleyville, AL",2007-06-08
81,754,"Nashua, NH",2007-06-22
82,755,"Albertville, AL",2007-06-29
83,756,"Anthony, KS",2007-07-20
