id,kcbs_competition_id,location,start_date
111,797,"Kansas City, MO",2007-04-20
131,820,"Kansas City, MO",2007-10-05
238,1026,"Kansas City, MO",2008-04-25
419,1283,"Kansas City, MO",2008-10-02
427,1292,"Kansas City, MO",2008-06-20
484,1389,"Kansas City, MO",2008-06-20
587,1556,"Kansas City, MO",2009-04-24
749,1825,"Kansas City, MO",2009-08-14
763,1840,"Kansas City, MO",2009-10-02
830,1977,"Kansas City, MO",2009-10-02
954,2142,"Kansas City, MO",2010-10-02
1032,2289,"Kansas City, MO",2010-08-06
1051,2332,"Kansas City, MO",2010-09-10
1158,2551,"Kansas City, MO",2010-10-01
1483,3105,"Kansas City, MO",2011-09-29
1490,3128,"Kansas City, MO",2011-09-29
1800,3559,"Kansas City, MO",2012-10-04
1907,3786,"Kansas City, MO",2012-10-04
2293,4335,"Kansas City, MO",2013-10-03
2294,4336,"Kansas City, MO",2013-10-03
2584,5100,"Kansas City, MO",2014-07-24
2747,4978,"Kansas City, MO",2014-10-02
2748,4979,"Kansas City, MO",2014-10-02
2898,5835,"Kansas City, MO",2015-05-01
2955,5604,"Kansas City, MO",2015-05-29
3221,5886,"Kansas City, MO",2015-10-02
3222,5933,"Kansas City, MO",2015-10-02
3224,5887,"Kansas City, MO",2015-10-03
3242,5978,"Kansas City, MO",2015-10-14
3375,6594,"Kansas City, MO",2016-05-06
3420,5977,"Kansas City, MO",2016-06-03
3637,6367,"Kansas City, MO",2016-09-09
3704,6560,"Kansas City, MO",2016-10-11
3832,7221,"Kansas City, MO",2017-04-29
3848,7224,"Kansas City, MO",2017-05-05
3894,6913,"Kansas City, MO",2017-06-02
3946,7321,"Kansas City, MO",2017-06-18
4100,7107,"Kansas City, MO",2017-09-08
4171,7449,"Kansas City, MO",2017-10-11
4207,7522,"Kansas City, MO",2017-11-11
4234,7889,"Kansas CIty, MO",2018-03-07
4306,7905,"Kansas City, MO",2018-05-04
4356,7659,"Kansas City, MO",2018-06-01
4394,7797,"Kansas City, MO",2018-06-17
4576,8136,"Kansas City, MO",2018-10-02
4630,8115,"Kansas City, MO",2018-11-10
